Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.0242,70.9431,73.397,..,78.4037,..,82.7891,..,84.8809,..,86.1214,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.8275,37.2975,48.4245,53.2301,58.438,63.8696,66.8735,68.2552,70.7405,73.77,76.0357,76.9633,77.1892,79.688,80.7314,85.1644,85.4365,85.2665,85.8744,90.8633,92.862,94.1659,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.6256,22.9588,36.5468,..,..,..,71.6909,73.1986,74.7054,74.9751,75.8247,78.0301,82.1961,83.636,84.4045,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.0357,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.0109,89.9999,..,95.0001,95.1549,99,94.452,98.5075,99.3165,100,100,100,100,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.09841,..,..,..,..,..,..,..,32.6864,..,37.3212,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.0547,29.3694,37.25,44.8653,51.4711,56.505,60.1881,70.9127,74.5505,79.0091,83.0301,85.7483,87.5447,90.1402,92.1169,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.7562,60.1512,65.7216,67.8295,72.9157,75.3244,79.01,78.6605,80.1696,84.1259,84.2776,85.4392,86.8421,87.2592,89.2103,91.1117,92.6559,93.4306,94.6981,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.3996,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.2535,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.9665,..,..,..,34.2187,32.1849,34.4719,..,..,41.6667,44.4308,58.0403,63.7076,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.314,62.4875,68.3368,67.4523,69.3125,72.6616,76.9687,83.0098,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.7539,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.9472,40.2503,..,..,52.8162,54.1797,57.5621,61.1209,67.3369,70.0151,73.4729,84.9105,79.7915,81.1465,85.6558,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.598,78.6,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.9998,..,..,99.7502,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.0781,..,26.1742,32.8507,38.7899,43.1111,45.3767,46.98,50.8148,51.7801,54.18,55.8825,59.1258,62.0692,63.4094,66.6993,68.74,74.0629,78.1407,79.7595,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.61695,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.884975,0.73574,..,..,1.49482,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.3678,49.7672,56.4746,..,60.965,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.34408,32.4416,32.9176,..,51.712,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.2,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.3,..,79.7,79.1717,..,..,..,..,..,..,..,..,..,..,..,94,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.7991,..,..,32.5841,..,..,36.808,..,..,..,..,..,74.5307,83.6583,80.7228,..,..,..,..,..,93.2,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.0484,70.4569,72.6218,75.2437,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.1269,40.1722,48.2664,51.1495,52.3444,55.1597,58.1742,62.4199,64.5888,65.8968,70.7503,73.908,73.5883,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.7664,..,..,30.8121,..,..,..,46.4698,..,..,59.5273,66.1227,71.6529,73.9544,81.9733,80.9004,82.9258,82.9603,85.4503,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.3981,29.3579,32.9244,..,..,33.9081,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.7471,37.1479,46.0552,48.2819,51.5499,54.7196,59.8949,65.5477,65.4125,68.7395,60.5206,73.3323,76.1521,74.9439,76.8805,80.4091,79.8165,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.7584,..,39.7031,..,..,..,75.1128,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.6803,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.5925,30.9548,33.581,38.299,39.0043,46.579,51.3087,53.2499,57.8156,63.807,67.7214,70.1848,74.439,80.6142,84.5601,85.8473,91.0765,90.4551,90.8158,91.7818,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.5771,32.5496,32.5136,45.804,48.7413,60.1483,62.5261,65.9288,67.87,72.4033,72.9525,71.4722,73.4982,74.8097,75.9862,78.675,78.3316,79.7177,81.0801,82.1745,84.8476,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.8367,74.2001,78.97,81.3532,85.6138,82.8914,83.5808,85.7726,88.1922,88.78,91.4985,94.3338,96.151,96.4369,97.5324,97.1603,97.2257,98.0581,95.7184,99.2507,98.0426,98.6854,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.6488,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.8415,75.0359,..,..,85.8945,85.6334,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.7198,23.8526,28.2072,30.7883,34.1507,39.1882,44.6175,48.4862,53.5403,..,..,..,..,..,69.6337,72.9855,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.3505,31.0946,34.7771,38.213,39.8372,41.2837,52.987,70.5374,..,65.188,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.52806,9.27977,11.2327,12.3221,15.9829,18.826,21.3688,23.2108,25.6096,..,32.7032,..,48.8709,52.3743,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.5375,58.8638,62.5474,66.0194,70.3607,72.6589,75.3269,77.2299,77.1888,79.1738,83.8142,87.4304,87.3476,88.3041,89.2502,89.8647,89.6023,91.7172,92.0057,94.4063,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.7072,..,..,..,..
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
